n° de ligne,nature,n°/id,"forme ""diplo""",forme modernisée,forme corrigée,lemme,pos,à scinder,à fusionner avec w n°,à corriger,corrigé
1719,w,1719,,le,,LE,Da,,,,
1720,w,1720,,dit,,DIRE,Ge,,,,
1721,w,1721,,jugement,,JUGEMENT,Nc,,,,
1722,w,1722,,differer,,DIFFÉRER,Vvn,,,,
1723,w,1723,,jusques,,JUSQUE,S,,,,
1724,w,1724,,aux,,À+LE,S+Da,,,,
1725,w,1725,,assises,,ASSISE,Nc,,,,
1726,w,1726,,ou,,OU,Cc,,,,
1727,w,1727,,plès,,PLAID,Nc,,,,
1728,w,1728,,après,,APRÈS,S,,,,
1729,w,1729,,ensuivans,,ENSUIVANT,Ag,,,,
1730,w,1730,,et,,ET,Cc,,,,
1731,w,1731,,commander,,COMMANDER,Vvn,,,,
1732,w,1732,,aux,,À+LE,S+Da,,,,
1733,w,1733,,parties,,PARTIE,Nc,,,,
1734,w,1734,,que,,QUE,Cs,,,,
1735,w,1735,,depuis,,DEPUIS,S,,,,
1736,w,1736,,iceulx,,ICELUI,Pd,,,,
1737,w,1737,,prochains,,PROCHAIN,Ag,,,,
1738,w,1738,,plès,,PLAID,Nc,,,,
1739,w,1739,,il,,IL,Pp,,,,
1740,w,1740,,baille,,BAILLER,Vvc,,,,
1741,w,1741,,leur,,LEUR,Ds,,,,
1742,w,1742,,escroe,,ESCROUE,Nc,,,,
1743,w,1743,,sur,,SUR,S,,,,
1744,w,1744,,paine,,PEINE,Nc,,,,
1745,w,1745,,',,',Fw,,,,
1746,w,1746,,amende,,AMENDE,Nc,,,,
1747,w,1747,,",",,",",Fw,,,,
1748,w,1748,,jouxte,,JOUXTER,Vvc,,,,
1749,w,1749,,les,,LE,Da,,,,
1750,w,1750,,ordonnances,,ORDONNANCE,Nc,,,,
1751,w,1751,,d,,DE,S,,,,
1752,w,1752,,',,',Fw,,,,
1753,w,1753,,eschiquier,,ÉCHIQUIER,Nc,,,,
1754,w,1754,,sur,,SUR,S,,,,
1755,w,1755,,ce,,CE,Pd,,,,
1756,w,1756,,faictes,,FAIRE,Ge,,,,
1757,w,1757,,;,,;,Fw,,,,
1758,w,1758,,et,,ET,Cc,,,,
1759,w,1759,,",",,",",Fw,,,,
1760,w,1760,,se,,SE,Pp,,,,
1761,w,1761,,au,,À+LE,S+Da,,,,
1762,w,1762,,plès,,PLAID,Nc,,,,
1763,w,1763,,après,,APRÈS,S,,,,
1764,w,1764,,ensuivant,,ENSUIVANT,Ag,,,,
1765,w,1765,,ils,,ILS,Pp,,,,
1766,w,1766,,ne,,NE,Rp,,,,
1767,w,1767,,baillent,,BAILLER,Vvc,,,,
1768,w,1768,,leurs,,LEUR,Ds,,,,
1769,w,1769,,escroes,,ESCROUE,Nc,,,,
1770,w,1770,,",",,",",Fw,,,,
1771,w,1771,,icelle,,ICELUI,Pd,,,,
1772,w,1772,,de,,DE,Dp,,,,
1773,w,1773,,parties,,PARTIE,Nc,,,,
1774,w,1774,,qui,,QUI,Pr,,,,
1775,w,1775,,se,,SE,Pp,,,,
1776,w,1776,,deffauldra,,DÉFAILLIR,Vvc,,,,
1777,w,1777,,de,,DE,S,,,,
1778,w,1778,,bailler,,BAILLER,Vvn,,,,
1779,w,1779,,",",,",",Fw,,,,
1780,w,1780,,le,,LE,Da,,,,
1781,w,1781,,juge,,JUGE,Nc,,,,
1782,w,1782,,lui,,IL,Pp,,,,
1783,w,1783,,sera,,ÊTRE,Vuc,,,,
1784,w,1784,,tenu,,TENIR,Ge,,,,
1785,w,1785,,faire,,FAIRE,Vvn,,,,
1786,w,1786,,amender,,AMENDER,Vvn,,,,
1787,w,1787,,et,,ET,Cc,,,,
1788,w,1788,,oultre,,OUTRE,S,,,,
1789,w,1789,,lui,,IL,Pp,,,,
1790,w,1790,,faire,,FAIRE,Vvn,,,,
1791,w,1791,,commandement,,COMMANDEMENT,Nc,,,,
1792,w,1792,,de,,DE,Dp,,,,
1793,w,1793,,rechief,,RECHEF,Nc,,,,
1794,w,1794,,qu,,QUE,Cs,,,,
1795,w,1795,,',,',Fw,,,,
1796,w,1796,,il,,IL,Pp,,,,
1797,w,1797,,baille,,BAILLER,Vvc,,,,
1798,w,1798,,dedens,,DEDANS,S,,,,
1799,w,1799,,dix,,DIX,Mc,,,,
1800,w,1800,,jours,,JOUR,Nc,,,,
1801,w,1801,,ou,,OU,Cc,,,,
1802,w,1802,,",",,",",Fw,,,,
1803,w,1803,,si,,SI,Cs,,,,
1804,w,1804,,non,,NON,Rg,,,,
1805,w,1805,,",",,",",Fw,,,,
1806,w,1806,,l,,IL,Pp,,,,
1807,w,1807,,',,',Fw,,,,
1808,w,1808,,en,,EN,Pp,,,,
1809,w,1809,,procedera,,PROCÉDER,Vvc,,,,
1810,w,1810,,ou,,OU,Cc,,,,
1811,w,1811,,l,,IL,Pp,,,,
1812,w,1812,,',,',Fw,,,,
